ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,simple,AB1,,Automatic Box Handle Body,1,0,visible,The Columbia AB1 is a professional-grade replacement handle body designed to restore the structural integrity and control of your automatic finishing box. This authentic OEM part ensures a precise fit and long-lasting durability on the job site.,"<p>Automatic Box Handle Body (AB1) is a precision-engineered replacement component designed specifically for Columbia automatic finishing box handles. This heavy-duty body serves as the structural core of the handle assembly, ensuring reliable control and leverage during professional drywall finishing applications. Built to withstand the rigors of daily job site use, this authentic Columbia part maintains the original performance standards of your equipment. It provides a secure housing for internal mechanisms, allowing for smooth operation and consistent pressure distribution across the finishing box. <h3>Features:</h3><ul><li><strong>Precision Machined:</strong> Manufactured to exact tolerances for a perfect fit within the Columbia handle assembly.</li><li><strong>Durable Construction:</strong> Engineered from high-grade materials to resist wear and corrosion in demanding environments.</li><li><strong>OEM Compatibility:</strong> Designed as a direct replacement for the AB1 model, ensuring seamless integration with existing components.</li><li><strong>Enhanced Control:</strong> Restores the structural integrity of the handle for precise mud application and finishing.</li></ul></p>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Finishing Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"AB1, Columbia repair, handle body, drywall tool parts, automatic box handle",Columbia AB1 Automatic Box Handle Body | OEM Repair Part,Restore your Columbia finishing box handle with the AB1 Handle Body. Authentic OEM replacement part for professional drywall finishing performance.,/product/columbia-automatic-box-handle-body-ab1/,"index, follow",Columbia AB1 Handle Body,"drywall tool parts, finishing box handle repair, Columbia tool maintenance, AB1 replacement",Columbia,AB1,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,finishing_box,,,,ready,,Columbia Tools,,,,
,simple,AB3ALEFT,,Automatic Box End Plate Left,1,0,visible,Genuine Columbia replacement left end plate for automatic finishing boxes. Ensures a precise seal and consistent performance during professional drywall finishing.,"<p>Automatic Box End Plate Left (AB3A LEFT) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This critical repair part ensures the structural integrity and pressure seal of the tool's left side, maintaining the consistent mud flow required for professional drywall finishing.</p><p>Built to withstand the rigors of daily job site use, this end plate restores your equipment to factory specifications. It eliminates leaks and mechanical inconsistencies caused by worn or damaged original plates, extending the service life of your finishing box.</p><h3>Features:</h3><ul><li><strong>Precision Fit:</strong> Engineered to exact Columbia specifications for seamless integration with AB3A series automatic boxes.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade materials to resist wear and corrosion from drywall compounds.</li><li><strong>Pressure Retention:</strong> Maintains a tight seal to ensure uniform mud distribution across the joint.</li><li><strong>Easy Installation:</strong> Designed for quick field replacement to minimize downtime during critical finishing phases.</li></ul>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Finishing Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"AB3A LEFT, Columbia repair parts, drywall box plate, left side plate",Columbia AB3A Left Box End Plate | Genuine Repair Part,Restore your Columbia finishing box with the AB3A-LEFT left end plate. Precision-engineered for a perfect seal and professional drywall results.,/product/columbia-ab3a-left-automatic-box-end-plate/,"index, follow",Columbia AB3A Left End Plate,"Columbia finishing box parts, drywall tool repair, AB3A-LEFT, automatic box side plate",Columbia,AB3A LEFT,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,finishing_box,,,,ready,,Columbia Tools,,,,
,simple,AB3ARIGHT,,Automatic Box End Plate Right,1,0,visible,"Authentic Columbia replacement right-side end plate for automatic finishing boxes. Restores factory performance and ensures a precise, leak-free seal for professional drywall finishing.","<p>Automatic Box End Plate Right (AB3A RIGHT) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This authentic part ensures your finishing equipment maintains its structural integrity and factory-standard performance during high-volume drywall applications.<br><br>Maintaining the side plates of your finishing box is critical for preventing compound leakage and ensuring a smooth, consistent finish on every joint. This right-side plate is built to the exact specifications of the original equipment, providing a seamless fit that restores the tool to its optimal working condition.<br><br><h3>Features:</h3><ul><li><strong>OEM Compatibility:</strong> Designed as a direct replacement for the right-side end plate on Columbia automatic boxes.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade materials to withstand the abrasive nature of joint compound and daily job site use.</li><li><strong>Precision Fit:</strong> Engineered to exact tolerances to ensure a leak-free seal and smooth mechanical operation.</li><li><strong>Extended Tool Life:</strong> Replacing worn end plates prevents further damage to the box body and internal components.</li></ul></p>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Finishing Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"Columbia, AB3A-RIGHT, AB3A RIGHT, automatic box plate, drywall tool repair, finishing box side plate",Columbia AB3A Right End Plate | Automatic Box Repair Part,Genuine Columbia AB3A Right End Plate for automatic finishing boxes. Ensure a leak-free seal and factory performance with this OEM replacement part.,/product/columbia-ab3a-right-automatic-box-end-plate/,"index, follow",Columbia AB3A Right End Plate,"drywall box parts, automatic taper repair, Columbia finishing box plate, AB3A-RIGHT replacement",Columbia,AB3A RIGHT,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,finishing_box,,,,ready,,Columbia Tools,,,,
,simple,AB40,,Automatic Box Air Valve Seat,1,0,visible,The Columbia AB40 is a high-quality replacement air valve seat designed to maintain the airtight integrity and performance of your automatic finishing boxes.,"<p>Automatic Box Air Valve Seat (AB40) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This essential repair part ensures your equipment maintains the necessary airtight seal required for consistent mud application and pressure control during professional drywall finishing operations.</p><p>Regular maintenance of the valve seat prevents air leaks and pressure loss, which can lead to uneven finishes or tool malfunction. By replacing worn seats with this genuine Columbia part, you restore the factory-standard performance of your finishing box and extend the service life of your professional tool kit.</p><p><strong>Features:</strong></p><ul><li><strong>OEM Compatibility:</strong> Specifically designed to fit Columbia automatic finishing boxes for a perfect, secure fit.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade materials to withstand the abrasive nature of joint compound and frequent use.</li><li><strong>Precision Sealing:</strong> Engineered to provide a reliable airtight seal, ensuring consistent flow and professional-grade results.</li><li><strong>Easy Installation:</strong> Streamlined design allows for quick replacement in the field or shop, minimizing downtime on the job site.</li></ul>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Finishing Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"AB40, Columbia repair, finishing box valve, air valve seat, drywall tool parts",Columbia AB40 Automatic Box Air Valve Seat | Repair Part,Maintain your Columbia automatic finishing box with the AB40 Air Valve Seat. Genuine replacement part for consistent pressure and professional results.,/product/columbia-ab40-automatic-box-air-valve-seat/,"index, follow",Columbia AB40 Air Valve Seat,"drywall box repair parts, Columbia finishing box parts, automatic box valve seat, AB40 replacement",Columbia,AB40,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,finishing_box,,,,ready,,Columbia Tools,,,,
,simple,AB41,,Automatic Box Air Valve Stem,1,0,visible,The Columbia AB41 is a genuine replacement air valve stem designed to restore precision air control and reliable performance to your automatic finishing box.,"<p>Automatic Box Air Valve Stem (AB41) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This critical part ensures the air valve mechanism operates with consistent accuracy, maintaining the necessary pressure and flow control required for professional-grade drywall finishing. <p>By replacing a worn or damaged stem with this genuine Columbia part, technicians can restore the responsive performance of their equipment and prevent air leaks that compromise finish quality. Its durable construction is built to withstand the high-frequency use typical of commercial job sites.</p><h3>Features:</h3><ul><li><strong>OEM Compatibility:</strong> Designed as a direct replacement for the Columbia AB41, ensuring a perfect fit and seamless integration with existing box components.</li><li><strong>High-Grade Durability:</strong> Manufactured from robust materials to resist wear and corrosion in demanding drywall environments.</li><li><strong>Precision Air Control:</strong> Restores the smooth actuation of the air valve for predictable and reliable tool performance.</li><li><strong>Efficient Maintenance:</strong> Simplifies the repair process, allowing professionals to minimize downtime and return to the job quickly.</li></ul></p>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Finishing Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"AB41, Columbia Box Part, Air Valve Stem, Drywall Tool Repair",Columbia AB41 Automatic Box Air Valve Stem | Repair Part,Genuine Columbia AB41 Automatic Box Air Valve Stem. Restore precision air control to your finishing box with this durable OEM replacement part.,/product/columbia-ab41-automatic-box-air-valve-stem/,"index, follow",Columbia AB41 Air Valve Stem,"Columbia repair parts, automatic box parts, drywall tool maintenance, AB41 valve stem",Columbia,AB41,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,finishing_box,,,,ready,,Columbia Tools,,,,
,simple,AB42,,Automatic Box Air Valve Body,1,0,visible,The Columbia AB42 Automatic Box Air Valve Body is a high-quality replacement part designed to restore pneumatic efficiency and precision to your drywall finishing box.,"<p>Automatic Box Air Valve Body (AB42) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This critical part ensures the pneumatic system maintains consistent pressure and reliable operation during high-volume drywall finishing tasks. Constructed from durable materials to withstand the rigors of professional job sites, this valve body restores the factory-standard performance of your finishing equipment. It is an essential repair part for maintaining the airtight integrity and mechanical efficiency of your Columbia tools.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Machined:</strong> Engineered for a perfect fit within the Columbia automatic box assembly.</li><li><strong>Durable Construction:</strong> Built to resist wear and corrosion in demanding drywall environments.</li><li><strong>OEM Compatibility:</strong> Direct replacement for part AB42, ensuring seamless integration and performance.</li><li><strong>System Reliability:</strong> Restores proper air flow control for consistent mud application.</li></ul>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Finishing Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"Columbia AB42, automatic box parts, drywall tool repair, air valve body, finishing box maintenance, AB-42",Columbia AB42 Automatic Box Air Valve Body | OEM Part,Restore your Columbia finishing box with the AB42 Air Valve Body. Genuine OEM replacement part for reliable pneumatic performance and airtight operation.,/product/columbia-ab42-automatic-box-air-valve-body/,"index, follow",Columbia AB42 Air Valve Body,"Columbia finishing box parts, AB42 replacement, drywall tool repair, automatic box valve, pneumatic drywall parts",Columbia,AB42,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,finishing_box,,,,ready,,Columbia Tools,,,,
,simple,AB43,,Automatic Box Throttle Housing,1,0,visible,The Columbia AB43 Automatic Box Throttle Housing is a genuine OEM replacement part designed to restore precise mechanical control and smooth operation to your finishing box.,"<p>Automatic Box Throttle Housing (AB43) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This critical housing unit ensures the throttle mechanism operates smoothly, maintaining consistent flow control during professional drywall finishing applications. Built to withstand the rigorous demands of high-volume job sites, this genuine Columbia part restores the factory-standard performance of your finishing equipment. It provides a secure fit and reliable housing for internal throttle components, preventing mechanical play and ensuring precise adjustment during use.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Machined:</strong> Engineered for an exact fit within the Columbia automatic box assembly to eliminate mechanical slop.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade materials to resist wear and corrosion from constant contact with joint compound.</li><li><strong>OEM Compatibility:</strong> Direct replacement for part number AB43, ensuring seamless integration with existing hardware without modification.</li><li><strong>Enhanced Control:</strong> Restores smooth throttle response for more accurate mud application and reduced operator fatigue.</li></ul>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Finishing Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"AB43, Columbia parts, throttle housing, finishing box repair, automatic box components",Columbia AB43 Automatic Box Throttle Housing | OEM Part,Restore your Columbia finishing box with the AB43 Automatic Box Throttle Housing. Genuine OEM part for precise flow control and professional durability.,/product/columbia-automatic-box-throttle-housing-ab43/,"index, follow",Columbia AB43 Throttle Housing,"drywall box repair parts, Columbia finishing box parts, AB43 housing, automatic box throttle, drywall tool maintenance",Columbia,AB43,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,finishing_box,,,,ready,,Columbia Tools,,,,
,simple,AB44,,Automatic Box Clutch Spring,1,0,visible,The Columbia AB44 Automatic Box Clutch Spring is a high-quality replacement part designed to restore consistent tension and reliable operation to your finishing box clutch mechanism.,"<p>Automatic Box Clutch Spring (AB44) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This essential spring ensures the clutch mechanism operates with consistent tension, maintaining the smooth flow and control required for professional drywall finishing.</p><p>By replacing worn or fatigued springs with this genuine-spec part, contractors can prevent mechanical slippage and extend the service life of their finishing equipment. Its robust design is built to handle the repetitive high-cycle demands of commercial drywall environments.</p><h3>Features:</h3><ul><li><strong>OEM Compatibility:</strong> Engineered as a direct replacement part for Columbia automatic boxes to ensure a perfect fit and reliable performance.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade spring steel to withstand the repetitive stress and rigorous demands of daily job site use.</li><li><strong>Restores Functionality:</strong> Replaces worn or broken springs to eliminate clutch slippage and restore the factory-standard response of your finishing tools.</li></ul>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Corner Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"AB44, Columbia parts, clutch spring, automatic box spring, drywall tool repair",Columbia AB44 Automatic Box Clutch Spring | Repair Part,Restore your Columbia automatic box with the AB44 Clutch Spring. High-grade steel replacement part for consistent finishing tool performance.,/product/columbia-ab44-automatic-box-clutch-spring/,"index, follow",Columbia AB44 Clutch Spring,"automatic box repair, drywall tool parts, Columbia finishing box spring, AB44 replacement part",Columbia,AB44,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,corner_box,,,,ready,,Columbia Tools,,,,
,simple,AB44A,,Automatic Box Clutch Spring Short,1,0,visible,The Columbia AB44A is a genuine short clutch spring designed to restore precise tension and reliable engagement in automatic finishing boxes. This durable OEM part ensures your drywall tools maintain peak performance during demanding professional use.,"<p>Automatic Box Clutch Spring Short (AB44A) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This short clutch spring ensures consistent tension and reliable engagement within the clutch mechanism, maintaining the smooth operation required for professional drywall finishing. Built to withstand the rigorous demands of daily job site use, this authentic Columbia part restores the factory-standard performance of your finishing equipment. It is an essential component for contractors performing routine maintenance or repairs on their automatic box systems. <h3>Features:</h3><ul><li><strong>Precision Fit:</strong> Engineered specifically for Columbia automatic finishing boxes to ensure seamless compatibility.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade spring steel for long-lasting tension and fatigue resistance.</li><li><strong>Optimized Performance:</strong> Restores the responsive clutch engagement necessary for consistent mud application.</li><li><strong>OEM Reliability:</strong> Genuine Columbia replacement part guarantees exact specifications and reliable field performance.</li></ul></p>",,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Corner Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"AB44A, Columbia clutch spring, short clutch spring, drywall box parts, automatic box spring",Columbia AB44A Automatic Box Clutch Spring Short | OEM Part,Restore your Columbia finishing box with the AB44A Short Clutch Spring. Genuine OEM part for precise tension and reliable clutch engagement. In stock now.,/product/columbia-ab44a-automatic-box-clutch-spring-short/,"index, follow",Columbia AB44A Clutch Spring,"automatic box repair parts, drywall tool springs, Columbia finishing box parts, AB44A replacement spring",Columbia,AB44A,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,corner_box,,,,ready,,Columbia Tools,,,,
,simple,AB44B,,Automatic Box Clutch Spring Long,1,0,visible,The Columbia AB44B is a high-grade replacement clutch spring designed to restore the mechanical precision and tension of your automatic finishing box.,<p>Automatic Box Clutch Spring Long (AB44B) is a precision-engineered replacement component designed specifically for Columbia automatic finishing boxes. This long-format spring ensures the clutch mechanism maintains consistent tension and reliable engagement during high-volume drywall finishing tasks. Maintaining this component is essential for preventing slippage and ensuring the smooth operation of your finishing tools on the job site.</p><h3>Features:</h3><ul><li><strong>OEM Compatibility:</strong> Engineered as a direct replacement part for Columbia automatic boxes to ensure seamless fit and factory-standard performance.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade spring steel to withstand the repetitive stress and corrosive environment of professional drywall applications.</li><li><strong>Optimized Tension:</strong> The long-profile design provides the specific resistance required for smooth clutch operation and precise mud flow control.</li></ul>,,,taxable,,1,,,0,0,0.02,,,,1,,,,Drywall Finishing Tools > Columbia > Parts,"Columbia, Columbia Corner Box Repair Parts, Parts, Repair Parts",,,,,,,,,,,0,Columbia Tools,,,,,,"AB44B, Columbia spring, clutch spring long, drywall box repair, finishing tool parts",Columbia AB44B Automatic Box Clutch Spring Long | OEM Part,Replace your worn Columbia AB44B clutch spring. This long-format OEM part restores tension and reliability to your automatic drywall finishing box.,/product/columbia-ab44b-automatic-box-clutch-spring-long/,"index, follow",Columbia AB44B Clutch Spring,"Columbia repair parts, automatic box spring, drywall tool maintenance, AB44B replacement",Columbia,AB44B,NewCondition,columbia-taping-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-taping-tools,corner_box,,,,ready,,Columbia Tools,,,,
