Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Cost of goods,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: schema_brand,Meta: schema_mpn,Meta: _dtb_manufacturer_sku,Meta: _dtb_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_brand,Meta: _dtb_specs_json,Meta: _includes_0_name,Meta: _includes_0_sku,Meta: _includes_1_name,Meta: _includes_1_sku,Meta: _includes_2_name,Meta: _includes_2_sku,Meta: _includes_3_name,Meta: _includes_3_sku,Meta: _includes_4_name,Meta: _includes_4_sku,Meta: _includes_5_name,Meta: _includes_5_sku,Meta: _includes_6_name,Meta: _includes_6_sku,Meta: _includes_7_name,Meta: _includes_7_sku,Meta: _includes_8_name,Meta: _includes_8_sku,Meta: _includes_9_name,Meta: _includes_9_sku,Meta: _includes_10_name,Meta: _includes_10_sku,Meta: _includes_11_name,Meta: _includes_11_sku,Meta: _includes_12_name,Meta: _includes_12_sku,Meta: _includes_13_name,Meta: _includes_13_sku,Meta: _includes_14_name,Meta: _includes_14_sku,Meta: _includes_15_name,Meta: _includes_15_sku,Meta: _includes_16_name,Meta: _includes_16_sku,Meta: _includes_17_name,Meta: _includes_17_sku,Meta: _includes_18_name,Meta: _includes_18_sku,Meta: _includes_19_name,Meta: _includes_19_sku,Meta: _dtb_schematic_id,Meta: _dtb_schematic_category,Meta: _dtb_schematic_page,Meta: _dtb_schematic_variant,Meta: _dtb_schematic_url,Meta: _dtb_seo_title,Meta: _dtb_seo_description,Meta: _dtb_seo_focus_kw,Meta: _dtb_seo_canonical,Meta: _dtb_seo_noindex,Slug,meta:product_family,meta:series,meta:model,Meta: _dtb_map_price
variable,COL-180-GRIP-FLAT-BOX-HANDLE,,Columbia 180° Grip Flat Box Handle,1,0,visible,The Columbia 180° Grip Flat Box Handle features a 180-degree rotating grip and lightweight aluminum construction to assist with natural hand positioning and consistent pressure during drywall finishing.,"<p>The Columbia 180° Grip Flat Box Handle features a rotating grip design that allows for natural hand positioning during the finishing stroke. Constructed from high-grade aluminum with an anodized finish, these handles provide a rigid, lightweight solution for applying consistent pressure to flat boxes.</p><h3>Available Sizes</h3><ul><li>3'</li><li>42""</li><li>4'</li><li>5'</li><li>6'</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,"Columbia, Drywall Finishing Tools",,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_02.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_03.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_04.webp",,,,,,,,,11,Columbia Tools,Handle Length,"3', 42"", 4', 5', 6'",1,0,3',Columbia Tools,,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,handles,handles,0,,,,,3BH,,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-180-GRIP-FLAT-BOX-HANDLE""},{""label"":""Handle Length"",""value"":""3', 42\"", 4', 5', 6'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-flat-box-handle,Handles,,,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-flat-box-handle,Columbia 180° Grip Flat Box Handle,The Columbia 180° Grip Flat Box Handle features a rotating grip for natural hand positioning. Available in lengths from 3' to 6' for drywall finishing.,Columbia 180 Grip Flat Box Handle,/product/columbia-180-degree-grip-flat-box-handle/,,columbia-180-grip-flat-box-handle,Columbia Flat Box Handles,180 Grip Series,180-GRIP,
variation,3BH,,Columbia 180° Grip Flat Box Handle - 3',1,0,visible,"The Columbia 180° Grip Flat Box Handle - 3&#39; features a 180-degree rotating grip and lightweight aluminum construction, designed for precise control during standard wall finishing.","<p>The Columbia 180° Grip Flat Box Handle in the 3' length is designed for standard wall finishing and maneuvering in confined spaces. The 180-degree rotating grip promotes natural wrist alignment throughout the finishing stroke, helping to maintain consistent pressure and control.</p><h3>Features</h3><ul><li>180-degree rotating grip for natural wrist alignment.</li><li>Lightweight aluminum construction for rigidity and consistent compound distribution.</li><li>3-foot length optimized for standard wall heights and tight areas.</li></ul>",,,taxable,,1,,,0,0,1.823,37.5,5.75,4,0,,,189.26,127.21,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,1,Columbia Tools,Handle Length,3',,0,,Columbia Tools,3BH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,handles,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,3',3',,1,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""3BH""},{""label"":""Model"",""value"":""3BH""},{""label"":""Handle Length"",""value"":""3'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-flat-box-handle,Handles,,,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-flat-box-handle,Columbia 180° Grip Flat Box Handle - 3' | Drywall Tool,The 3' Columbia 180° Grip Flat Box Handle features a rotating grip for natural wrist alignment and lightweight aluminum construction for drywall finishing.,Columbia 180 Grip Flat Box Handle 3ft,/product/columbia-180-grip-flat-box-handle-3ft/,,columbia-180-grip-flat-box-handle-3ft,Flat Box Handles,180° Grip Series,3BH,189.26
variation,42BH,,"Columbia 180° Grip Flat Box Handle - 42""",1,0,visible,The Columbia 180° Grip Flat Box Handle - 42&quot; features a 180-degree rotating grip and lightweight aluminum construction to provide natural hand positioning and consistent pressure during drywall finishing.,"<p>The Columbia 180° Grip Flat Box Handle (42"") provides consistent pressure and control when using flat finishing boxes. This handle features a 180-degree rotating grip that allows for natural hand positioning throughout the finishing stroke.</p><h3>Features</h3><ul><li><strong>180° Rotating Grip:</strong> Facilitates natural wrist and hand movement during operation.</li><li><strong>42-Inch Length:</strong> Provides reach suitable for standard wall and ceiling finishing.</li><li><strong>Aluminum Construction:</strong> Lightweight and rigid design.</li><li><strong>Compatibility:</strong> Designed for use with Columbia flat boxes.</li></ul>",,,taxable,,1,,,0,0,1.86875,45,5.25,3.75,0,,,205.49,128.92,,,,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_02.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_03.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_04.webp",,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,2,Columbia Tools,Handle Length,"42""",,0,,Columbia Tools,42BH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,handles,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,"42""","42""",,2,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""42BH""},{""label"":""Model"",""value"":""42BH""},{""label"":""Handle Length"",""value"":""42\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-flat-box-handle,Handles,,,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-flat-box-handle,"Columbia 180° Grip Flat Box Handle - 42""",The Columbia 180° Grip Flat Box Handle in 42-inch length features a rotating grip for natural hand positioning and consistent pressure during drywall finishing.,42 inch flat box handle,/product/columbia-180-grip-flat-box-handle-42/,,columbia-180-grip-flat-box-handle-42,Flat Box Handles,180° Grip Series,42BH,205.49
variation,4BH,,Columbia 180° Grip Flat Box Handle - 4',1,0,visible,The Columbia 4&#39; 180° Grip Flat Box Handle features a rotating grip design that allows for natural hand positioning and consistent pressure during drywall finishing.,"<p>The Columbia 180° Grip Flat Box Handle, 4', is designed to provide consistent pressure and control when using flat boxes. The 180-degree rotating grip allows for natural hand positioning during the finishing stroke, helping to maintain proper tool angle throughout the pass.</p><h3>Features</h3><ul><li>180-degree rotating grip for natural hand positioning</li><li>4-foot length for standard wall and ceiling reach</li><li>Lightweight aluminum construction</li><li>Hard anodized finish for durability and easy cleaning</li></ul>",,,taxable,,1,,,0,0,2.0635,50.75,5.25,4,0,,,210.89,130.59,,,,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_02.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_03.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_04.webp",,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,3,Columbia Tools,Handle Length,4',,0,,Columbia Tools,4BH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,handles,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,4',4',,3,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""4BH""},{""label"":""Model"",""value"":""4BH""},{""label"":""Handle Length"",""value"":""4'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-flat-box-handle,Handles,,,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-flat-box-handle,Columbia 180° Grip Flat Box Handle - 4' | 4BH,The Columbia 180° Grip Flat Box Handle (4') features a rotating grip for natural hand positioning and consistent pressure. Durable aluminum construction.,Columbia 4' flat box handle,/product/columbia-180-grip-flat-box-handle-4ft/,,columbia-180-grip-flat-box-handle-4ft,Columbia Flat Box Handles,180 Grip Series,4BH,210.89
variation,5BH,,Columbia 180° Grip Flat Box Handle - 5',1,0,visible,"The Columbia 180° Grip Flat Box Handle, 5-foot model, features a rotating grip mechanism that allows for natural hand positioning and consistent pressure during drywall finishing. Its lightweight aluminum construction provides the reach needed for upper wall and ceiling applications.","<p>The Columbia 180° Grip Flat Box Handle in the 5-foot length is designed for extended reach during drywall finishing applications. This handle features a 180-degree rotating grip mechanism, allowing for natural hand positioning and reduced wrist strain throughout the finishing stroke.</p><h3>Features</h3><ul><li><strong>5-Foot Length:</strong> Optimized for reaching upper wall sections and standard ceilings.</li><li><strong>180° Rotating Grip:</strong> Enables natural hand alignment to maintain consistent pressure on the flat box.</li><li><strong>Aluminum Construction:</strong> Lightweight, rigid design with an anodized finish for durability and easy cleanup.</li></ul>",,,taxable,,1,,,0,0,8,,,,0,,,221.71,132.32,,,,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_02.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_03.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_04.webp",,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,4,Columbia Tools,Handle Length,5',,0,,Columbia Tools,5BH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,handles,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,5',5',,4,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""5BH""},{""label"":""Model"",""value"":""5BH""},{""label"":""Handle Length"",""value"":""5'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-flat-box-handle,Handles,,,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-flat-box-handle,Columbia 180° Grip Flat Box Handle - 5' | 5BH,The 5' Columbia 180° Grip Flat Box Handle features a rotating grip for natural hand positioning and consistent pressure during drywall finishing.,Columbia 5' flat box handle,/product/columbia-180-grip-flat-box-handle-5ft-5bh/,,columbia-180-grip-flat-box-handle-5ft-5bh,Columbia Flat Box Handles,180° Grip Series,5BH,221.71
variation,6BH,,Columbia 180° Grip Flat Box Handle - 6',1,0,visible,"The Columbia 180° Grip Flat Box Handle in 6&#39; length features a 180-degree rotating grip and lightweight aluminum construction, designed for consistent pressure and reach during high-wall drywall finishing.","<p>The Columbia 180° Grip Flat Box Handle provides a 6-foot reach for high-wall and ceiling drywall finishing. The integrated 180-degree rotating grip allows the handle to pivot with the wrist, facilitating natural hand positioning during the finishing stroke. Constructed from lightweight, anodized aluminum, this handle provides the rigidity required for consistent pressure application.</p><h3>Features</h3><ul><li><strong>180-Degree Rotating Grip:</strong> Allows the handle to move with the wrist for natural hand positioning.</li><li><strong>6-Foot Length:</strong> Provides extended reach for high walls and ceilings.</li><li><strong>Anodized Aluminum:</strong> Lightweight, durable construction designed for consistent box pressure.</li></ul>",,,taxable,,1,,,0,0,10,,,,0,,,232.52,134.04,,,,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_02.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_03.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_04.webp",,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,5,Columbia Tools,Handle Length,6',,0,,Columbia Tools,6BH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,handles,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,6',6',,5,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""6BH""},{""label"":""Model"",""value"":""6BH""},{""label"":""Handle Length"",""value"":""6'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-flat-box-handle,Handles,,,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-flat-box-handle,Columbia 180° Grip Flat Box Handle - 6' | Drywall Tool,Finish high walls and ceilings with the 6' Columbia 180° Grip Flat Box Handle. Features a rotating grip for natural hand positioning and control.,Columbia 180 Grip Flat Box Handle 6ft,/product/columbia-180-grip-flat-box-handle-6ft/,,columbia-180-grip-flat-box-handle-6ft,Flat Box Handles,180° Grip,6BH,232.52
variable,COL-ANGLE-HEAD,,Columbia Angle Head,1,0,visible,"The Columbia Angle Head is a drywall finishing tool designed for consistent compound application and edge feathering on 90-degree internal corners. Available in 2&quot;, 2.5&quot;, 3&quot;, and 3.5&quot; sizes.","<p>The Columbia Angle Head is a specialized drywall finishing tool designed for the application of joint compound and feathering of 90-degree internal corners. This tool is engineered to provide a consistent finish and seamless transition between wall surfaces in a single pass.</p><h3>Features</h3><ul><li>Billet aluminum body construction for durability.</li><li>Stainless steel wings designed for wear resistance and consistent edge feathering.</li><li>Compatible with standard drywall finishing handles and applicators.</li></ul><h3>Available Sizes</h3><ul><li>2"" Angle Head</li><li>2.5"" Angle Head</li><li>3"" Angle Head</li><li>3.5"" Angle Head</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,"Columbia, Drywall Finishing Tools",,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_2ah_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_2_5ah_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3ah_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3_5ah_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah_front_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah_all_sizes_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah_all_sizes_02.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah_all_sizes_03.webp",,,,,,,,,5,Columbia Tools,Size,"2"", 2.5"", 3"", 3.5""",1,0,"2""",Columbia Tools,,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,corner_tools,0,,,,,2AH,,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-ANGLE-HEAD""},{""label"":""Size"",""value"":""2\"", 2.5\"", 3\"", 3.5\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-angle-head,Angleheads,,,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head,Columbia Angle Head | Drywall Corner Finishing Tool,"Professional drywall angle heads for 90-degree internal corners. Available in 2"", 2.5"", 3"", and 3.5"" sizes for consistent compound application.",Columbia Angle Head,/product/columbia-angle-head-col-angle-head/,,columbia-angle-head,Columbia Finishing Tools,Angle Heads,COL-ANGLE-HEAD,
variation,2AH,,"Columbia Angle Head - 2""",1,0,visible,"The Columbia 2&quot; Angle Head (2AH) is a drywall finishing tool designed for bedding tape and applying joint compound to 90-degree internal corners, featuring a durable billet aluminum body and wear-resistant stainless steel wings.","<p>The Columbia 2"" Angle Head (2AH) is designed for bedding tape and applying the initial coat of joint compound to 90-degree internal corners. This tool features a billet aluminum body for durability and stainless steel wings to maintain consistent contact and edge feathering.</p><h3>Features</h3><ul><li><strong>Billet Aluminum Body:</strong> Constructed for structural integrity during high-pressure use.</li><li><strong>Stainless Steel Wings:</strong> Engineered for wear resistance to ensure consistent corner finishing.</li><li><strong>Secure Locking Mechanism:</strong> Designed to maintain a firm connection to the handle during operation.</li></ul>",,,taxable,,1,,,0,0,0.858,5,5,4,0,,,410.97,268.93,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_2ah_01.webp,,,COL-ANGLE-HEAD,,,,,,1,Columbia Tools,Size,"2""",,0,,Columbia Tools,2AH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-ANGLE-HEAD,Size,"2""","2""",,1,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""2AH""},{""label"":""Model"",""value"":""2AH""},{""label"":""Size"",""value"":""2\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-angle-head,Angleheads,,2,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head&amp;variant=2,"Columbia 2"" Angle Head | Drywall Finishing Tool (2AH)","The Columbia 2"" Angle Head (2AH) features a billet aluminum body and stainless steel wings for consistent joint compound application in 90-degree corners.",Columbia 2 inch angle head,/product/columbia-angle-head-2-inch/,,columbia-angle-head-2-inch,Columbia Angle Heads,Angle Heads,2AH,410.97
variation,2.5AH,,"Columbia Angle Head - 2.5""",1,0,visible,The Columbia 2.5&quot; Angle Head is a drywall finishing tool engineered for applying joint compound and feathering 90-degree internal corners in a single pass.,"<p>The Columbia 2.5"" Angle Head is a specialized drywall finishing tool designed for the application of joint compound and feathering of 90-degree internal corners. This tool is engineered to provide a consistent finish and seamless transition between wall surfaces in a single pass.</p><h3>Features</h3><ul><li>Designed for 90-degree internal corner finishing</li><li>2.5-inch size for specific compound application requirements</li><li>Compatible with standard drywall finishing handles and applicators</li><li>Constructed for durability and consistent performance</li></ul>",,,taxable,,1,,,0,0,0.9125,4,4,4,0,,,421.79,277.45,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_2_5ah_01.webp,,,COL-ANGLE-HEAD,,,,,,2,Columbia Tools,Size,"2.5""",,0,,Columbia Tools,2.5AH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-ANGLE-HEAD,Size,"2.5""","2.5""",,2,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""2.5AH""},{""label"":""Model"",""value"":""2.5AH""},{""label"":""Size"",""value"":""2.5\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-angle-head,Angleheads,,2-5,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head&amp;variant=2-5,"Columbia 2.5"" Angle Head | Drywall Finishing Tool","Finish 90-degree internal drywall corners with the Columbia 2.5"" Angle Head. Designed for consistent compound application and edge feathering.",Columbia 2.5 inch angle head,/product/columbia-angle-head-2-5-inch/,,columbia-angle-head-2-5-inch,Columbia Angle Heads,Columbia Finishing Tools,2.5AH,421.79
variation,3AH,,"Columbia Angle Head - 3""",1,0,visible,The Columbia 3&quot; Angle Head is a drywall finishing tool designed for consistent compound application and edge feathering on 90-degree internal corners.,"<p>The Columbia 3"" Angle Head is designed for finishing 90-degree internal drywall corners. This tool applies joint compound and feathers edges in a single pass, providing a consistent finish.</p><h3>Features</h3><ul><li>Billet aluminum body construction.</li><li>Hardened stainless steel wings for wear resistance and edge feathering.</li><li>Compatible with standard drywall finishing handles and applicators.</li></ul>",,,taxable,,1,,,0,0,1.0565,4,5,5,0,,,443.42,285.99,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3ah_01.webp,,,COL-ANGLE-HEAD,,,,,,3,Columbia Tools,Size,"3""",,0,,Columbia Tools,3AH,,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-tools,,0,COL-ANGLE-HEAD,Size,"3""","3""",,3,0,Columbia Taping Tools,,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""3AH""},{""label"":""Model"",""value"":""3AH""},{""label"":""Size"",""value"":""3\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia-angle-head,Angleheads,,3,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head&amp;variant=3,"Columbia 3"" Angle Head | 3AH Drywall Tool","Finish 90-degree internal drywall corners with the Columbia 3"" Angle Head. Features a billet aluminum body and stainless steel wings for consistent results.","Columbia 3"" Angle Head",/product/columbia-angle-head-3-inch/,,columbia-angle-head-3-inch,Columbia Angle Heads,Angle Heads,3AH,443.42
