dtb_sku,dtb_name,current_dtb_price,cost_of_goods,match_status,match_reasoning,lowest_confirmed_competitor_price,lowest_confirmed_competitor_source_url,proposed_new_price,resulting_margin_pct,price_change_amount
CTA01TT,TapeTech Compound Tube Filler Adapter,19.99,12.57,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,19.99,https://www.alstapingtools.com/tapetech-compound-tube-filler-adapter-cta01tt/,19.99,37.12,0.0
03TT,"TapeTech EasyClean® Automatic Taper - Mini-Taper 40.5""",1775.0,1153.75,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,1775.0,https://www.alstapingtools.com/tapetech-easyclean-automatic-mini-taper-03tt/,1775.0,35.0,0.0
17TT,TapeTech Corner Roller - Outside Corner,170.0,113.32,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,170.0,https://www.alstapingtools.com/tapetech-outside-corner-bead-roller-17tt/,170.0,33.34,0.0
TAPER,Columbia Automatic Taper - Standard 53 in.,1683.0,1166.49,REJECTED_MISMATCH,"Different model: competitor is the Predator ""Sawed Off"" Mini Taper, not the Standard 53in Taper (DTB SKU TAPER)",,,,,
TAPER,Columbia Automatic Taper - Standard 53 in.,1683.0,1166.49,REJECTED_MISMATCH,"Different model: competitor is the Predator Carbon Fiber Taper, not the Standard 53in Taper",,,,,
76XLTT,TapeTech EasyClean® Pump - Extra Long,659.0,455.91,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,199.0,https://www.all-wall.com/TapeTech-Long-Gooseneck,199.0,-129.1,-460.0
NSA-TT,TapeTech Support Handle Adapter - Nail Spotter,40.0,29.90,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,40.0,https://www.all-wall.com/TapeTech-NSATT-Nail-Spotter-Adapter,40.0,25.25,0.0
17TTE,TapeTech Corner Roller - Flex Tape Outside Corner,184.06,128.84,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,179.0,https://www.alstapingtools.com/tapetech-outside-corner-roller-for-flex-tape-17tte/,179.0,28.02,-5.06
CAA-TT,TapeTech Support Handle Adapter - Corner Applicator,45.0,29.80,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,42.0,https://www.alstapingtools.com/tapetech-corner-applicator-adapter-caa-tt/,42.0,29.05,-3.0
CF25TT,"TapeTech Direct Corner Flusher - 2.5""",114.0,70.88,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,114.0,https://www.alstapingtools.com/tapetech-2-5-direct-flusher-cf25tt/,114.0,37.82,0.0
CF40TT,"TapeTech Direct Corner Flusher - 4""",129.0,72.86,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,129.0,https://www.alstapingtools.com/tapetech-4-direct-flusher-cf40tt/,129.0,43.52,0.0
48XTT,"TapeTech Corner Finisher - 3.5"" EasyRoll® Adjustable",448.22,313.75,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,429.0,https://walltools.com/tapetech-easy-roll-adjustable-angle-head-corner-finisher-tape-48tt-48xtt/,429.0,26.86,-19.22
CA08TT,"TapeTech Corner Applicator - 8""",330.0,218.63,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,330.0,https://www.alstapingtools.com/tapetech-8-corner-applicator-ca08tt/,330.0,33.75,0.0
CH55TT,TapeTech Cove Applicator Head - 55 mm,99.0,64.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,99.0,https://www.all-wall.com/TapeTech-ApplicatorHead-CH55TT,99.0,35.0,0.0
CH83TT,TapeTech Cove Applicator Head - 83 mm,99.0,64.35,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,99.0,https://www.all-wall.com/TapeTech-ApplicatorHead-CH83TT,99.0,35.0,0.0
IA90,Columbia UHMW Mud Applicator - Inside 90°,98.0,60.09,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,91.93,https://www.alstapingtools.com/columbia-90-inside-corner-mud-head/,91.93,34.64,-6.07
76TT,TapeTech EasyClean® Pump - Standard,399.0,284.93,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,399.0,https://www.alstapingtools.com/tapetech-easyclean-loading-pump-76tt/,399.0,28.59,0.0
TAPER,Columbia Automatic Taper - Standard 53 in.,1683.0,1166.49,REJECTED_MISMATCH,"Competitor is a bare taper body sub-component, not the complete taper tool",,,,,
TAPER,Columbia Automatic Taper - Standard 53 in.,1683.0,1166.49,REJECTED_MISMATCH,"Competitor is a bare taper body sub-component, not the complete taper tool",,,,,
STAPER,Columbia Automatic Taper - Sawed Off 39 in.,1683.0,1166.49,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,1649.29,https://www.alstapingtools.com/columbia-sawed-off-mini-automatic-taper/,1649.29,29.27,-33.71
07TT-C,TapeTech EasyClean® Automatic Taper - Carbon Fiber,1816.18,1271.32,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,1780.0,https://www.alstapingtools.com/tapetech-carbon-fiber-automatic-taper/,1780.0,28.58,-36.18
CFA-TT,TapeTech Support Handle Adapter - Corner Finisher,49.0,34.04,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,49.0,https://www.alstapingtools.com/tapetech-corner-finisher-ball-adapter-cfa-tt/,49.0,30.53,0.0
EHC12,"TapeTech MaxxBox® High Capacity Finishing Box - 12""",444.0,288.60,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,444.0,https://www.alstapingtools.com/tapetech-12-maxxbox-w-easy-roll-wheels-ehc12/,444.0,35.0,0.0
PAHC10,"TapeTech Power Assist® MaxxBox® Finishing Box - 10""",494.93,346.45,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,469.0,https://www.alstapingtools.com/tapetech-10-powerassist-maxxbox-w-easyroll-wheels-pahc10/,469.0,26.13,-25.93
EZ15TT,"TapeTech EasyClean® Finishing Box - 15""",429.0,278.85,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,99.69,https://www.all-wall.com/TapeTech-WiperGasket-340026,99.69,-179.72,-329.31
PAHC12,"TapeTech Power Assist® MaxxBox® Finishing Box - 12""",520.16,364.11,CONFIRMED_MATCH,Competitor SKU is identical to DTB SKU (same manufacturer part code) - same product,479.0,https://www.alstapingtools.com/tapetech-12-powerassist-maxxbox-w-easyroll-wheels-pahc12/,479.0,23.99,-41.16
