disposition,issue_code,issue_label,brand,part_ref,source_sku,source_display_id,part_name,relationship_count,hotspot_occurrences,schematics,candidate_evidence,required_action
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",level5,9,7177,9,"#10 Brass Washer",13,1,level5-9333-cutter-chain-assembly|level5-7-inch-mega-flat-box-4-767|level5-7-inch-flat-box-4-764|level5-12-inch-mega-box-4-769|level5-12-inch-flat-box-4-766|level5-10-inch-mega-flat-box-4-768|level5-10-inch-flat-box-4-765,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,cf4l,CF4L,"CF 4L","Ball Spring Long Flusher (CF4L)",5,5,columbia-direct-corner-flusher|columbia-combo-flusher|columbia-standard-corner-flusher|columbia-external-corner-applicator|columbia-2-way-internal-corner,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ext35,EXT35,"EXT 35","Extension Tube 35 in (EXT35)",4,4,columbia-long-extendable-handle|columbia-cam-lock-tube|columbia-compound-tube|columbia-one,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa221,FA221,FA221,"#6 Belleville Washer (FA221)",4,4,columbia-flat-box|columbia-fat-boy-box|columbia-angle-head|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa324,FA324,"FA 324","10-24 x 1/4 Set Screw (FA324)",4,4,columbia-direct-corner-flusher|columbia-combo-flusher|columbia-semi-automatic-taper|columbia-standard-corner-flusher,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,fa290,FA290,FA290,"1/4-20 Nyloc Nut (FA290)",4,4,columbia-mud-pump|columbia-predator-taper|columbia-standard-outside-corner-roller|columbia-tall-boy-mud-pump,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",level5,2,7178,2,"#14 Brass Washer",7,1,level5-corner-roller-4-707|level5-7-inch-mega-flat-box-4-767|level5-7-inch-flat-box-4-764|level5-12-inch-mega-box-4-769|level5-12-inch-flat-box-4-766|level5-10-inch-mega-flat-box-4-768|level5-10-inch-flat-box-4-765,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",level5,12,7015,12,"#6-32 Thin Pattern Locknut",7,1,level5-7377-cover-plate-assembly-old-style|level5-7-inch-mega-flat-box-4-767|level5-7-inch-flat-box-4-764|level5-12-inch-mega-box-4-769|level5-12-inch-flat-box-4-766|level5-10-inch-mega-flat-box-4-768|level5-10-inch-flat-box-4-765,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb40-10,FFB40-10,"FFB40-10""","Flat Box Door Gasket 10 in (FFB40-10)",3,3,columbia-flat-box|columbia-fat-boy-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb4c,FFB4C,FFB4C,"Flat Box Corner Blade Assembly 4 in (FFB4C)",3,3,columbia-flat-box|columbia-automatic-flat-box|columbia-nailspotter,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb43,FFB43,FFB43,"Bead Wheel Bushing (FFB43)",3,3,columbia-flat-box|columbia-fat-boy-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
catalog_identity_correction,catalog_product_missing_or_identifier_mismatch,"Catalog identity gap",columbia,ffb41,FFB41,FFB41,"Flat Box Axle Assembly (FFB41)",3,3,columbia-flat-box|columbia-fat-boy-box|columbia-automatic-flat-box,,"Verify that this manufacturer part is intentionally sold. If sold, create/correct the WooCommerce product or variation so its protected SKU, brand and MPN identity exactly match authoritative catalog data, then rebuild the plan. If not sold, record an explicit not-sold disposition."
